Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89)
2020;Auvergne-Rhône-Alpes;38;FRK2438532D038170;;VENERIEU - LAC DE VENERIEU;01/01/1992;lac;5.283;45.64915
2020;Auvergne-Rhône-Alpes;38;FRK2438538D038180;;LE VERSOUD/SAINT ISMIER - LE BOIS FRANCAIS;01/01/1992;lac;5.84273;45.22715
2020;Auvergne-Rhône-Alpes;42;FRK2542159D042020;;PLAN D'EAU DE NOIRETABLE;01/01/1991;lac;3.76772;45.80774
2020;Auvergne-Rhône-Alpes;42;FRK2542204D042030;;PLAN D'EAU VILLENEUVE;01/01/1991;lac;4.07565;45.4189
2020;Auvergne-Rhône-Alpes;42;FRK2542268D042045;;RET.VILLEREST - ARPHEUILLES;01/01/1991;lac;4.06214;45.91215
2020;Auvergne-Rhône-Alpes;42;FRK2542270D042050;;RET.GRANGENT - VIGIE MOUETTE;01/01/1991;lac;4.24275;45.40428
2020;Auvergne-Rhône-Alpes;42;FRK2542318D042075;;PLAN D'EAU - LE CHANDIEU;01/01/1991;lac;3.95413;45.39248
2020;Auvergne-Rhône-Alpes;43;FRK1343012D043133;;BASE MULTISPORTS;18/06/2011;rivière;4.19672;45.36829
2020;Auvergne-Rhône-Alpes;43;FRK1343037D043100;;LAC DU BOUCHET;01/01/1991;lac;3.79188;44.90592
2020;Auvergne-Rhône-Alpes;43;FRK1343048D043055;;PLAN D'EAU DE LA TOUR;01/01/1991;lac;3.70658;45.33559
2020;Auvergne-Rhône-Alpes;43;FRK1343051D043140;;PLAN D'EAU;01/01/1991;lac;4.31731;45.053
2020;Auvergne-Rhône-Alpes;43;FRK1343052D043060;;PLAN D'EAU;01/01/1991;lac;3.5028;45.36679
2020;Auvergne-Rhône-Alpes;43;FRK1343070D043080;;ALLIER RIVE GAUCHE;01/01/1991;rivière;3.44398;45.15358
2020;Auvergne-Rhône-Alpes;43;FRK1343101D043026;;PONT DE GOUDET;01/07/2011;rivière;3.92029;44.89146
2020;Auvergne-Rhône-Alpes;43;FRK1343112D043510;;ALLIER - ILE D'AMOUR;01/01/2000;rivière;3.50285;45.09464
2020;Auvergne-Rhône-Alpes;43;FRK1343114D043600;;BARRAGE LAVALETTE;01/07/2012;lac;4.21852;45.15093
2020;Auvergne-Rhône-Alpes;43;FRK1343118D043076;;ALLIER PONT DE LAVOUTE CHILHAC;04/07/2010;rivière;3.4019;45.14858
2020;Auvergne-Rhône-Alpes;43;FRK1343135D043125;;PLAN D'EAU DU MOULIN DE SAVIN;01/01/1991;lac;3.98405;44.93584
2020;Auvergne-Rhône-Alpes;43;FRK1343136D043110;;ALLIER RIVE GAUCHE BASE CANOE;01/01/1991;rivière;3.64942;44.96782
2020;Auvergne-Rhône-Alpes;43;FRK1343155D043105;;ALLIER RIVE GAUCHE;01/01/1991;rivière;3.59527;45.02913
2020;Auvergne-Rhône-Alpes;43;FRK1343262D043065;;ALLIER-LA BAGEASSE;01/01/1991;rivière;3.40665;45.27936
2020;Auvergne-Rhône-Alpes;43;FRK1343264D043070;;ALLIER RIVE GAUCHE  CAMPING;01/01/1991;rivière;3.39889;45.20906
2020;Auvergne-Rhône-Alpes;63;FRK1463003D063005;;PLAN D'EAU D'AMBERT;01/01/1995;lac;3.73299;45.54672
2020;Auvergne-Rhône-Alpes;63;FRK1463015D063020;;PLAN D'EAU D'AUBUSSON D'AUVERGNE;01/01/1991;lac;3.61359;45.75129
2020;Auvergne-Rhône-Alpes;63;FRK1463026D063030;;LAC D'AYDAT;01/01/1991;lac;2.98396;45.66689
2020;Auvergne-Rhône-Alpes;63;FRK1463038D063040;;PLAN D'EAU DE SUPER BESSE;01/01/1992;lac;2.85518;45.50935
2020;Auvergne-Rhône-Alpes;63;FRK1463055D063045;;PLAN D'EAU D'ANSCHALD;01/01/1993;lac;2.83909;45.84522
2020;Auvergne-Rhône-Alpes;63;FRK1463072D063065;;PLAN D'EAU DE CHABRELOCHE;01/01/1992;lac;3.69667;45.88363
2020;Auvergne-Rhône-Alpes;63;FRK1463077D063050;;LAC CHAMBON : PLAGE OUEST;01/01/1991;lac;2.91592;45.57348
2020;Auvergne-Rhône-Alpes;63;FRK1463093D063070;;GOUR DE TAZENAT;01/01/1991;lac;2.98689;45.98119
2020;Auvergne-Rhône-Alpes;63;FRK1463124D063100;;BOIRE DE COURNON;01/01/1991;lac;3.21701;45.74394
2020;Auvergne-Rhône-Alpes;63;FRK1463132D063110;;PLAN D'EAU DE CUNLHAT;01/01/1992;lac;3.55911;45.62418
2020;Auvergne-Rhône-Alpes;63;FRK1463187D063115;;PLAN D'EAU DE LAPEYROUSE;01/01/1991;lac;2.88397;46.22201
2020;Auvergne-Rhône-Alpes;63;FRK1463189D063117;;PLAN D'EAU DE LAQUEUILLE;01/01/1993;lac;2.72537;45.66614
2020;Auvergne-Rhône-Alpes;63;FRK1463192D063120;;PLAN D'EAU DE  LA TOUR D'AUVERGNE;01/01/1992;lac;2.68572;45.53423
2020;Auvergne-Rhône-Alpes;63;FRK1463228D063130;;FADES BESSERVES : CONFOLANT;01/01/1991;lac;2.75668;45.9139
2020;Auvergne-Rhône-Alpes;63;FRK1463228D063135;;FADES BESSERVES:PONT DU BOUCHET;01/01/1992;lac;2.76873;45.92322
2020;Auvergne-Rhône-Alpes;63;FRK1463246D063138;;ETANG DE LA BANNE D'ORDANCHE;01/01/1992;lac;2.74188;45.60308
2020;Auvergne-Rhône-Alpes;63;FRK1463247D063060;;LAC CHAMBON : PLAGE EST;01/01/1991;lac;2.92882;45.56834
2020;Auvergne-Rhône-Alpes;63;FRK1463319D063160;;PLAN D'EAU DE ST ANTHEME;01/01/1992;lac;3.91608;45.52385
2020;Auvergne-Rhône-Alpes;63;FRK1463338D063170;;PLAN D'EAU DE ST ELOY LES MINES;01/01/1991;lac;2.83375;46.15623
2020;Auvergne-Rhône-Alpes;63;FRK1463354D063180;;ETANG PHILIPPE : COTE CAMPING;01/01/1991;lac;2.8157;46.03701
2020;Auvergne-Rhône-Alpes;63;FRK1463363D063140;;FADES BESSERVES : LA CHAZOTTE;01/01/1991;lac;2.75518;45.90727
2020;Auvergne-Rhône-Alpes;63;FRK1463393D063190;;PLAN D'EAU DE ST REMY : COTE BAR;01/01/1991;lac;3.59883;45.89449
2020;Auvergne-Rhône-Alpes;63;FRK1463393D063195;;PLAN D'EAU DE ST REMY : COTE TENNIS;01/01/1991;lac;3.60213;45.89666
2020;Auvergne-Rhône-Alpes;63;FRK1463401D063240;;PLAN D'EAU DU CAMPING LA RIBEYRE;01/01/1998;lac;2.93866;45.56238
2020;Auvergne-Rhône-Alpes;63;FRK1463416D063250;;PLAN D'EAU DES ROZIERS;01/01/1998;lac;2.51181;45.58912
2020;Auvergne-Rhône-Alpes;63;FRK1463419D063200;;PLAN D'EAU DE SERVANT;01/01/1991;lac;2.93667;46.13999
2020;Auvergne-Rhône-Alpes;63;FRK1463430D063001;;PLAN D'EAU D'ILOA;01/07/2013;lac;3.48219;45.86751
