Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin;Mesures de gestion
2023;Auvergne-Rhône-Alpes;026;FRK2326167D026210;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326183D026255;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326192D026520;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326198D026970;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326215D026900;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326235D026920;Saison balnéaire;17/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326289D026240;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326289D026245;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326295D026990;Saison balnéaire;17/06/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326296D026347;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326299D026267;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326301D026910;Saison balnéaire;27/05/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326301D026915;Saison balnéaire;27/05/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326344D026415;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326368D026230;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438006D038300;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Interdiction sanitaire;30/06/2023;04/07/2023;Interdiction par arrêté municipal du 04/07 au 06/07.
2023;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Saison balnéaire;17/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438106D038031;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438128D038111;Saison balnéaire;08/07/2023;20/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438203D038030;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438231D038400;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438231D038400;Interdiction non sanitaire;01/07/2023;31/08/2023;Baignade non réouverte depuis fermeture COVID. Projet de réaménagement toujours en cours. Pas de contrôle sanitaire.
2023;Auvergne-Rhône-Alpes;038;FRK2438256D038005;Saison balnéaire;01/05/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438292D038002;Saison balnéaire;17/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438292D038003;Saison balnéaire;04/06/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438304D038004;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438314D038240;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438343D038080;Saison balnéaire;01/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Interdiction sanitaire;19/07/2023;07/09/2023;Prolifération de cyanobactéries + présence de toxines > aux valeurs impératives. Interdiction de baignade par arrêté municipal du 19/07/23 au 07/09/23.
2023;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Prolifération de cyanobactéries;12/07/2023;31/08/2023;Prolifération de cyanobactéries + présence de toxines > aux valeurs impératives. Interdiction de baignade par arrêté municipal du 19/07/23 au 07/09/23.
2023;Auvergne-Rhône-Alpes;038;FRK2438449D038120;Saison balnéaire;08/07/2023;27/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438453D038270;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438462D038040;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438503D038060;Saison balnéaire;03/06/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438518D038160;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438532D038170;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438538D038180;Saison balnéaire;17/05/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542159D042020;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542204D042030;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542204D042030;Interdiction non sanitaire;01/01/2023;31/12/2023;fermeture du site pour les saisons 2020, 2021, 2022, 2023
2023;Auvergne-Rhône-Alpes;042;FRK2542204D042030;Changement de qualité d'eau;01/01/2023;31/12/2023;arrêt du contrôle sanitaire pour la saison 2020 en raison de la mise à jour du profil et de travaux prévus pour améliorer la situation suite au déclassement en insuffisant en 2019 et à la présence importantes de cyanobactéries
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Interdiction sanitaire;07/07/2023;27/07/2023;présence de toxines de cyanobactéries : interdiction de baignade, de consommer les poissons et de pratiquer les activités nautiques avec risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Interdiction sanitaire;03/08/2023;18/08/2023;présence de toxines de cyanobactéries : interdiction de baignade, de consommer les poissons et de pratiquer les activités nautiques avec risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Interdiction sanitaire;23/08/2023;31/08/2023;présence de toxines de cyanobactéries : interdiction de baignade, de consommer les poissons et de pratiquer les activités nautiques avec risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Interdiction sanitaire;07/09/2023;09/09/2023;présence de toxines de cyanobactéries : interdiction de baignade, de consommer les poissons et de pratiquer les activités nautiques avec risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Saison balnéaire;18/05/2023;09/09/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Prolifération de cyanobactéries;07/07/2023;27/07/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Prolifération de cyanobactéries;03/08/2023;31/08/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries
2023;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Prolifération de cyanobactéries;07/09/2023;09/09/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries
2023;Auvergne-Rhône-Alpes;042;FRK2542268D042045;Interdiction sanitaire;07/07/2023;01/09/2023;Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte.
2023;Auvergne-Rhône-Alpes;042;FRK2542268D042045;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542268D042045;Prolifération de cyanobactéries;07/07/2023;31/08/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries-ne pas consommer poisson
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Interdiction sanitaire;07/07/2023;13/07/2023;Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte. interdiction baignade et loisirs à risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Interdiction sanitaire;21/07/2023;10/08/2023;Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte.  interdiction baignade et loisirs à risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Interdiction sanitaire;17/08/2023;31/08/2023;Présence de toxines de cyanobactéries  en quantité supérieure au seuil d'alerte (microcystine) . interdiction baignade et loisirs à risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Prolifération de cyanobactéries;03/07/2023;10/07/2023;toxines de cyanobactéries> seuil. Interdiction de baignade et d'activités nautiques avec ingestion d'eau -ne pas consommer le poisson
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Prolifération de cyanobactéries;21/07/2023;07/08/2023;toxines de cyanobactéries> seuil. Interdiction de baignade et d'activités nautiques avec ingestion d'eau -ne pas consommer poissons
2023;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Prolifération de cyanobactéries;14/08/2023;31/08/2023;toxines de cyanobactéries> seuil. Interdiction de baignade et d'activités nautiques avec ingestion d'eau -ne pas consommer poissons
2023;Auvergne-Rhône-Alpes;042;FRK2542287D042065;Saison balnéaire;01/07/2023;01/09/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542318D042075;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Interdiction sanitaire;07/07/2023;13/07/2023;Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte.. Interdiction de baignade et de loisirs à risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Interdiction sanitaire;25/07/2023;11/08/2023;présence de toxines de cyanobactéries en quantités  supérieures au seuil d'alerte. Interdiction de baignade et de loisirs à risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Interdiction sanitaire;18/08/2023;01/09/2023;Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte. Interdiction de baignade et de loisirs à risque d'ingestion d'eau
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Prolifération de cyanobactéries;07/07/2023;13/07/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries-ne pas consommer poisson
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Prolifération de cyanobactéries;24/07/2023;07/08/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries-ne pas consommer poisson
2023;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Prolifération de cyanobactéries;14/08/2023;31/08/2023;interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries-ne pas consommer poisson
2023;Auvergne-Rhône-Alpes;043;FRK1343012D043133;Interdiction sanitaire;01/07/2023;03/07/2023;pluie et orage
2023;Auvergne-Rhône-Alpes;043;FRK1343012D043133;Interdiction sanitaire;12/07/2023;20/07/2023;Pour des raisons de sécurité dues aux événements climatiques. Présence de cyanobactérie toxinogènes
